W_x_error,W_y_error,W_z_error,V_x_error,V_y_error,V_z_error
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,9.999999999732445e-07,0.0
0.0,0.0,0.0,0.0,9.999999999732445e-07,0.0
0.0,0.0,0.0,0.0,2.9999999999752447e-06,0.0
0.0,0.0,0.0,0.0,4.000000000004e-06,0.0
0.0,0.0,0.0,0.0,5.999999999950489e-06,0.0
0.0,0.0,0.0,0.0,4.999999999977245e-06,0.0
0.0,0.0,0.0,0.0,2.9999999999752447e-06,0.0
0.0,0.0,0.0,0.0,2.9999999999752447e-06,0.0
0.0,0.0,0.0,0.0,2.000000000002e-06,0.0
0.0,0.0,0.0,0.0,3.000000000030756e-06,0.0
0.0,0.0,0.0,0.0,9.999999999732445e-07,0.0
0.0,0.0,0.0,0.0,-1.0000000000287557e-06,0.0
0.0,0.0,0.0,0.0,-2.000000000002e-06,0.0
0.0,0.0,0.0,0.0,-2.000000000002e-06,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2.000000000002e-06,0.0
0.0,0.0,0.0,0.0,9.999999999732445e-07,0.0
0.0,0.0,0.0,0.0,2.000000000002e-06,0.0
0.0,0.0,0.0,0.0,2.9999999999752447e-06,0.0
0.0,0.0,0.0,0.0,2.000000000002e-06,0.0
0.0,0.0,0.0,0.0,2.000000000002e-06,0.0
0.0,0.0,0.0,0.0,4.000000000004e-06,0.0
0.0,0.0,0.0,0.0,2.9999999999752447e-06,0.0
0.0,0.0,0.0,0.0,2.9999999999752447e-06,0.0
0.0,0.0,0.0,0.0,5.000000000032756e-06,0.0
0.0,0.0,0.0,0.0,4.000000000004e-06,0.0
0.0,0.0,0.0,0.0,5.000000000032756e-06,0.0
0.0,0.0,0.0,0.0,2.9999999999752447e-06,0.0
0.0,0.0,0.0,0.0,4.000000000004e-06,0.0
0.0,0.0,0.0,0.0,5.000000000032756e-06,0.0
0.0,0.0,0.0,0.0,4.000000000004e-06,0.0
0.0,0.0,0.0,0.0,6.0000000000060005e-06,0.0
0.0,0.0,0.0,0.0,5.000000000032756e-06,0.0
0.0,0.0,0.0,0.0,6.0000000000060005e-06,0.0
0.0,0.0,0.0,0.0,3.999999999948489e-06,0.0
0.0,0.0,0.0,0.0,5.000000000032756e-06,0.0
0.0,0.0,0.0,9.999999999177334e-07,4.000000000004e-06,0.0
0.0,0.0,0.0,9.999999999177334e-07,4.000000000004e-06,0.0
0.0,0.0,0.0,9.999999999177334e-07,2.000000000002e-06,0.0
0.0,0.0,0.0,9.999999999177334e-07,2.9999999999752447e-06,0.0
0.0,0.0,0.0,9.999999999177334e-07,2.000000000002e-06,0.0
0.0,0.0,0.0,9.999999999177334e-07,3.000000000030756e-06,0.0
0.0,0.0,0.0,9.999999999177334e-07,2.000000000002e-06,0.0
0.0,0.0,0.0,9.999999999177334e-07,3.000000000030756e-06,0.0
0.0,0.0,0.0,9.999999999177334e-07,3.000000000030756e-06,0.0
0.0,0.0,0.0,1.999999999946489e-06,4.000000000004e-06,0.0
0.0,0.0,0.0,1.999999999946489e-06,4.000000000004e-06,0.0
0.0,0.0,0.0,1.999999999946489e-06,2.9999999999752447e-06,0.0
0.0,0.0,0.0,1.999999999946489e-06,2.9999999999752447e-06,0.0
0.0,0.0,0.0,2.9999999999752447e-06,2.000000000002e-06,0.0
0.0,0.0,0.0,2.9999999999752447e-06,4.000000000004e-06,0.0
0.0,0.0,0.0,2.9999999999752447e-06,4.000000000004e-06,0.0
0.0,0.0,0.0,2.9999399999702803e-06,6.000030000008483e-06,0.0
0.0,0.0,0.0,3.999930000109231e-06,7.000039999982555e-06,0.0
0.0,0.0,0.0,3.9999299999982085e-06,7.000039999982555e-06,0.0
0.0,0.0,0.0,4.9999199999151145e-06,8.000049999956627e-06,0.0
0.0,0.0,0.0,4.999909999914287e-06,9.000050000040893e-06,0.0
0.0,0.0,0.0,5.99991999994387e-06,8.000060000012965e-06,0.0
0.0,0.0,0.0,5.999799999933941e-06,1.000012000001993e-05,0.0
0.0,0.0,0.0,6.999799999962697e-06,1.0000140000021585e-05,0.0
0.0,0.0,0.0,6.999610000057999e-06,1.3000210000002621e-05,0.0
0.0,0.0,0.0,7.999549999859745e-06,1.5000240000007103e-05,0.0
0.0,0.0,0.0,8.999519999997041e-06,1.600026999992732e-05,0.0
0.0,0.0,0.0,8.999239999973874e-06,1.900035999996552e-05,0.0
0.0,0.0,0.0,9.99919999999932e-06,2.0000399999942076e-05,0.0
0.0,0.0,0.0,1.0999159999913743e-05,2.100043999997414e-05,0.0
0.0,0.0,0.0,1.1998799999912713e-05,2.4000600000018135e-05,0.0
0.0,0.0,0.0,1.2998379999906717e-05,2.7000780000008273e-05,0.0
0.0,0.0,0.0,1.3998319999930509e-05,2.800083999993097e-05,0.0
0.0,0.0,0.0,1.4998379999964229e-05,2.700089999996269e-05,0.0
0.0,0.0,0.0,1.599789999995327e-05,3.000112000001165e-05,0.0
0.0,0.0,0.0,1.799743999997272e-05,3.2001439999929104e-05,0.0
0.0,0.0,0.0,1.8997440000001475e-05,3.2001519999935724e-05,0.0
0.0,0.0,0.0,1.9996849999981414e-05,3.500179999998965e-05,0.0
0.0,0.0,0.0,2.1996199999985144e-05,3.8002199999942476e-05,0.0
0.0,0.0,0.0,1.999693999998886e-05,3.400179999996089e-05,0.0
0.0,0.0,0.0,1.7997679999881555e-05,2.900143999995386e-05,0.0
0.0,0.0,0.0,1.5997759999941685e-05,2.8001280000022888e-05,0.0
0.0,0.0,0.0,1.4998249999953472e-05,2.5001049999973102e-05,0.0
0.0,0.0,0.0,1.2998739999936504e-05,2.1000780000002273e-05,0.0
0.0,0.0,0.0,1.1998739999907748e-05,2.1000719999997308e-05,0.0
0.0,0.0,0.0,1.099879999999498e-05,2.0000659999963588e-05,0.0
0.0,0.0,0.0,9.999199999888297e-06,1.600050000000186e-05,0.0
0.0,0.0,0.0,8.999479999993731e-06,1.3000359999959521e-05,0.0
0.0,0.0,0.0,7.999519999857263e-06,1.2000319999982967e-05,0.0
0.0,0.0,0.0,6.999559999942839e-06,1.1000279999950902e-05,0.0
0.0,0.0,0.0,5.999639999920703e-06,9.000239999945592e-06,0.0
0.0,0.0,0.0,5.999639999920703e-06,9.000239999945592e-06,0.0
0.0,0.0,0.0,4.999639999891947e-06,9.000199999997793e-06,0.0
0.0,0.0,0.0,4.999719999898566e-06,7.000199999995793e-06,0.0
0.0,0.0,0.0,4.999639999891947e-06,9.000200000053304e-06,0.0
0.0,0.0,0.0,4.99955999999635e-06,1.1000199999999793e-05,0.0
0.0,0.0,0.0,4.999559999885328e-06,1.1000199999999793e-05,0.0
0.0,0.0,0.0,4.999639999891947e-06,9.000199999997793e-06,0.0
0.0,0.0,0.0,5.999399999900845e-06,1.2000299999925801e-05,0.0
0.0,0.0,0.0,6.999350000036486e-06,1.3000349999958694e-05,0.0
0.0,0.0,0.0,7.99929999983906e-06,1.4000399999936075e-05,0.0
0.0,0.0,0.0,8.999299999867816e-06,1.4000449999995723e-05,0.0
0.0,0.0,0.0,9.99919999999932e-06,1.600050000000186e-05,0.0
0.0,0.0,0.0,1.0998920000004908e-05,1.80006600000171e-05,0.0
0.0,0.0,0.0,1.2998919999951397e-05,1.8000780000027028e-05,0.0
0.0,0.0,0.0,1.0998920000004908e-05,1.80006600000171e-05,0.0
0.0,0.0,0.0,9.998979999981117e-06,1.700059999998338e-05,0.0
0.0,0.0,0.0,8.999159999856232e-06,1.400054000000317e-05,0.0
0.0,0.0,0.0,7.999449999962494e-06,1.100039999996083e-05,0.0
0.0,0.0,0.0,6.999399999929601e-06,1.2000349999985449e-05,0.0
0.0,0.0,0.0,6.999449999933738e-06,1.1000349999956693e-05,0.0
0.0,0.0,0.0,6.999549999942012e-06,9.000350000010204e-06,0.0
0.0,0.0,0.0,5.999499999909119e-06,1.0000299999979312e-05,0.0
0.0,0.0,0.0,6.99945000004476e-06,1.1000350000012205e-05,0.0
0.0,0.0,0.0,6.999449999933738e-06,1.1000349999956693e-05,0.0
0.0,0.0,0.0,7.999349999843197e-06,1.3000400000018342e-05,0.0
0.0,0.0,0.0,8.999039999957326e-06,1.600053999994966e-05,0.0
0.0,0.0,0.0,9.998979999981117e-06,1.700059999998338e-05,0.0
0.0,0.0,0.0,1.1998529999890373e-05,2.1000840000007237e-05,0.0
0.0,0.0,0.0,9.998599999949676e-06,2.0000699999966898e-05,0.0
0.0,0.0,0.0,8.998739999932504e-06,1.8000629999959106e-05,0.0
0.0,0.0,0.0,7.998739999903748e-06,1.8000560000008825e-05,0.0
0.0,0.0,0.0,7.998669999897956e-06,1.900055999998207e-05,0.0
0.0,0.0,0.0,6.9987399999860145e-06,1.8000490000003033e-05,0.0
0.0,0.0,0.0,6.998879999997598e-06,1.6000490000001033e-05,0.0
0.0,0.0,0.0,7.998739999903748e-06,1.8000560000008825e-05,0.0
0.0,0.0,0.0,7.99880999990954e-06,1.700056000003558e-05,0.0
0.0,0.0,0.0,8.998879999944087e-06,1.6000629999957106e-05,0.0
0.0,0.0,0.0,1.0998399999961883e-05,2.000087999998179e-05,0.0
0.0,0.0,0.0,1.1998399999990639e-05,2.000095999998841e-05,0.0
0.0,0.0,0.0,1.0998319999955264e-05,2.1000879999955036e-05,0.0
0.0,0.0,0.0,9.99840000004415e-06,2.000079999991966e-05,0.0
0.0,0.0,0.0,9.99873999996126e-06,1.800070000002041e-05,0.0
0.0,0.0,0.0,8.998669999926712e-06,1.900062999998786e-05,0.0
0.0,0.0,0.0,8.99859999992092e-06,2.0000629999961106e-05,0.0
0.0,0.0,0.0,9.99873999996126e-06,1.800070000002041e-05,0.0
0.0,0.0,0.0,1.0998399999961883e-05,2.000087999998179e-05,0.0
0.0,0.0,0.0,1.1998319999872997e-05,2.1000959999961655e-05,0.0
0.0,0.0,0.0,1.0998809999995807e-05,1.7000769999997445e-05,0.0
0.0,0.0,0.0,9.998949999978635e-06,1.5000699999989653e-05,0.0
0.0,0.0,0.0,8.999279999866161e-06,1.200054000000117e-05,0.0
0.0,0.0,0.0,8.999279999977183e-06,1.200054000000117e-05,0.0
0.0,0.0,0.0,8.999339999982148e-06,1.1000539999972414e-05,0.0
0.0,0.0,0.0,8.99901999995567e-06,1.4000630000010617e-05,0.0
0.0,0.0,0.0,9.998949999978635e-06,1.5000699999989653e-05,0.0
0.0,0.0,0.0,1.1998949999925124e-05,1.5000839999945725e-05,0.0
0.0,0.0,0.0,1.0999280000034695e-05,1.2000660000011099e-05,0.0
0.0,0.0,0.0,9.999549999917257e-06,9.000500000022615e-06,0.0
0.0,0.0,0.0,8.999549999888501e-06,9.000449999962967e-06,0.0
0.0,0.0,0.0,8.999599999892638e-06,8.000449999989723e-06,0.0
0.0,0.0,0.0,9.999549999917257e-06,9.000499999967104e-06,0.0
0.0,0.0,0.0,1.0999500000052898e-05,1.0000549999999997e-05,0.0
0.0,0.0,0.0,1.1999219999947464e-05,1.3000720000044819e-05,0.0
0.0,0.0,0.0,1.0999499999941875e-05,1.0000549999944486e-05,0.0
0.0,0.0,0.0,9.99949999991312e-06,1.000049999999586e-05,0.0
0.0,0.0,0.0,9.999550000028279e-06,9.000499999967104e-06,0.0
0.0,0.0,0.0,9.999449999908983e-06,1.1000499999969104e-05,0.0
0.0,0.0,0.0,1.099945000004876e-05,1.1000550000028753e-05,0.0
0.0,0.0,0.0,1.19991599999425e-05,1.4000720000018063e-05,0.0
0.0,0.0,0.0,1.0999449999937738e-05,1.1000549999973241e-05,0.0
0.0,0.0,0.0,9.999449999908983e-06,1.1000499999969104e-05,0.0
0.0,0.0,0.0,9.999549999917257e-06,9.000499999967104e-06,0.0
0.0,0.0,0.0,9.999549999917257e-06,9.000499999967104e-06,0.0
0.0,0.0,0.0,1.0999549999946012e-05,9.000549999971241e-06,0.0
0.0,0.0,0.0,1.199933999984637e-05,1.1000719999987307e-05,0.0
0.0,0.0,0.0,1.0999340000039659e-05,1.1000659999982343e-05,0.0
0.0,0.0,0.0,9.999400000015868e-06,1.0000600000004134e-05,0.0
0.0,0.0,0.0,9.999340000010903e-06,1.100060000003289e-05,0.0
0.0,0.0,0.0,9.999400000015868e-06,1.0000599999948623e-05,0.0
0.0,0.0,0.0,1.0999280000034695e-05,1.2000660000011099e-05,0.0
0.0,0.0,0.0,1.299921999997622e-05,1.3000780000049783e-05,0.0
0.0,0.0,0.0,1.199933999984637e-05,1.1000719999987307e-05,0.0
0.0,0.0,0.0,1.0999280000034695e-05,1.2000660000011099e-05,0.0
0.0,0.0,0.0,1.1999279999952428e-05,1.2000719999960552e-05,0.0
0.0,0.0,0.0,1.1999159999831477e-05,1.4000720000018063e-05,0.0
0.0,0.0,0.0,1.3998809999971051e-05,1.700098000001482e-05,0.0
0.0,0.0,0.0,1.1998949999814101e-05,1.5000840000001237e-05,0.0
0.0,0.0,0.0,1.1998949999925124e-05,1.5000840000001237e-05,0.0
0.0,0.0,0.0,1.1999019999930916e-05,1.4000839999972481e-05,0.0
0.0,0.0,0.0,1.2999019999959671e-05,1.4000909999978273e-05,0.0
0.0,0.0,0.0,1.3998639999956985e-05,1.7001119999970893e-05,0.0
0.0,0.0,0.0,1.2999089999965463e-05,1.3000909999949517e-05,0.0
0.0,0.0,0.0,1.2999159999971255e-05,1.2000909999976273e-05,0.0
0.0,0.0,0.0,1.2999159999971255e-05,1.2000909999920761e-05,0.0
0.0,0.0,0.0,1.3999230000005802e-05,1.100098000000882e-05,0.0
0.0,0.0,0.0,1.59991599999465e-05,1.2001119999993648e-05,0.0
0.0,0.0,0.0,1.499930000004035e-05,1.0001049999930345e-05,0.0
0.0,0.0,0.0,1.399922999989478e-05,1.1000979999953309e-05,0.0
0.0,0.0,0.0,1.4999299999929327e-05,1.0001049999985856e-05,0.0
0.0,0.0,0.0,1.599922999984127e-05,1.1001119999964892e-05,0.0
0.0,0.0,0.0,1.3999369999906364e-05,9.000979999951308e-06,0.0
0.0,0.0,0.0,1.299936999998863e-05,9.000909999945517e-06,0.0
0.0,0.0,0.0,1.3999439999912155e-05,8.000979999922553e-06,0.0
0.0,0.0,0.0,1.3999509999917947e-05,7.000979999949308e-06,0.0
0.0,0.0,0.0,1.5999369999963875e-05,9.001119999962892e-06,0.0
0.0,0.0,0.0,1.3999440000023178e-05,8.000979999978064e-06,0.0
0.0,0.0,0.0,1.3999579999923739e-05,6.000979999976064e-06,0.0
0.0,0.0,0.0,1.4999719999964078e-05,4.001049999924344e-06,0.0
0.0,0.0,0.0,1.599964999987602e-05,5.001119999958892e-06,0.0
0.0,0.0,0.0,1.3999789999941115e-05,3.000980000000819e-06,0.0
0.0,0.0,0.0,1.2999789999912359e-05,3.000909999939516e-06,0.0
0.0,0.0,0.0,1.2999719999906567e-05,4.000909999968272e-06,0.0
0.0,0.0,0.0,1.3999790000052137e-05,3.000979999945308e-06,0.0
0.0,0.0,0.0,1.4999719999964078e-05,4.0010499999798554e-06,0.0
0.0,0.0,0.0,1.3999939999953526e-05,1.0008399999317241e-06,0.0
0.0,0.0,0.0,1.399999999995849e-05,8.399999584796092e-10,0.0
0.0,0.0,0.0,1.3999879999948561e-05,2.0008399999604798e-06,0.0
0.0,0.0,0.0,1.499976000007841e-05,4.000899999967444e-06,0.0
0.0,0.0,0.0,1.3999759999938632e-05,4.00083999996248e-06,0.0
0.0,0.0,0.0,1.3999949999954353e-05,1.0007000000311628e-06,0.0
0.0,0.0,0.0,1.4000049999962627e-05,-9.992999999708374e-07,0.0
0.0,0.0,0.0,1.500009999999552e-05,-1.999249999995456e-06,0.0
0.0,0.0,0.0,1.6999999999933735e-05,8.499999593070129e-10,0.0
